sentence,translation
とりあえず毎日、風呂入ってきれいにしとく。 不潔な奴は嫌われるっていうし,First of all take bath every day and keep yourself clean. I heard that girls hate dirty guys.
俺、まだ廊下のトコいるからよ 何かあったら連絡くれな,I'm still in the hallway so if you want to do something contact me.
気分転換に ラーメンでも食いにいかね？,Let's go eat ramen or something to change the mood
死者と会話出来る女性の 不思議な物語だ…,It's a strange story about a woman who is able to talk to deceased...
お前が「a person of talent」 がどうか訊いてるみたいだな。,She seems to be asking you something about [a person of talent]
ラーメン丼,Ramen bowl (present)
保証してやれなくて悪いな。 だが、必ず変化はあるはずだ。,I'm sorry that I can't give any guarantees but I'm certain that there was a change.
不気味な事件を追う 捜査官の物語だ…,It's an story about an investigator chasing after an eerie indicident
ま、どうせただのいたずらだろ？ 本気にしてる奴なんていねえよ。,Well, in any case it's a prank, right? There's no way there are guys that would do this for real.
私は教師としてあるまじきことを 繰り返してまいりました…,I did all these inappropriate things as a teacher repeatedly...
生徒への暴言、部員への体罰… そして…女子生徒への性的な嫌がらせ…,Abusive language towards students, corporal punishment to the club members... And finally...sexual harassment towards female students...
もちろん、それは撤回します…,Of course I'll retract them (Request for expelling)
私は傲慢で、浅はかで… 恥ずべき人間、いや人間以下だ,I'm arrogant, shallow, disgraceful human being. No, I'm less than a human.
朝礼は終了します！解散！解散して！！,Morning assembly is over! Disband! Disband I say!
でも「死んで詫ます」とか 「自首します」とか、急に言う？,But what is that talk about gravely apologizing and turning yourself in all of the sudden?
俺たち、知ってたのに… 見て見ぬふりしてた。,Even though we saw it, we pretended that we didn't...
高巻さん、私、誤解してて… 変な噂広めちゃって…ごめん！,Takamaki-san, I misunderstood the situation and spread these strange rumors. I'm sorry!
謝りたいって思ってる子 きっと、たくさんいると思う。,The people who thinking about apologizing...I'm certain there're a lot of them.
つーか、どうだった？見舞い…,By the way, how did it go? The visit to the hospital...
セクハラとか、自殺未遂とか… やっぱレッテル付いて回るし,Sexual harassment and failed suicide attempt... That label will probably follow her after.
ひとまず、今後のことは、 事態が落ち着いてから相談だね。,After the situation has calmed down, we'll discuss what to do next, right?
って、３万！？ 金メダルの価値って３万かよ！？,Wha...30000!? The price of gold medal is 30000?
事態を見守ることには賛成だ。,I agree about keeping an eye on the situation.
怪盗の相談は美食の席でと決まってる。 どうだ？,So we'll conduct the Phantom Thieves discussion at some location with delicious food. How is that?
俺は借金あるし、文句は言えねえ…,I'm in debt so I can't complain...
次の日からの学校生活に備えて、 勢いつけるって意味で。,From the next day we'll have to make preparations for our school life. The point is to make some energy.
いいよな、お前は明日から連休で…,Good, isn't it? You have holidays starting from tomorrow...
おいおい、確保してどうすんだ。 好奇心は猫を殺すんだぜ？,Hey,hey. What're you doing getting caught? Because of your curiousity the cat will be killed...
メダルを換金しに行くぞ。,Let's go and convert that medal into money.
悪いね、なんか催促したみたいで。,My bad. It seems that somehow we were in high demand.
さて、次の話題…過去の栄光から一転、 逮捕された五輪メダリストに一体何が？,So, the next subject...Complete transformation from former glory - Olympic medalist was seized. What exactly was that?
体にベタベタ触ってきたりとか、 しょっちゅうあって…我慢してました。,He touched all over my body and that happened all the time... I had to endure that.
見てねえな さすがに伏せるだろ,I didn't see that. Naturally he laid face down, right?
絶対がっかりさせないから 楽しみにしてて！,We'll definitely have fun and won't let ourselves get disappointed!
ご主人に手伝い頼まれても ちゃんと断れよ？,If the master asks for help, refuse properly this time, right?
生意気、言ってんじゃねえ。,Don't talk so cocky.
人間の心理状態って、 そう簡単に変わるものかしら。,So a person's mental state changed just like that, huh?
何だ、その紙袋は？ ちょっと中を見せてみろ！,What's that paper bag? Show me what's inside!
とにかく、捜査に協力しろ！,Anyway, help the investigation!
チャンスじゃねえーか？ 返すとき、ミリタリー屋に交渉してみようぜ！,It's our chance, isn't it? When you come back to that military shop, let's try to bargain!
想像以上に、反応が大きくて… ちょっとびっくりした…かな。,The reaction was massive, beyond what I had imadined. I just got really surprised....
とにかく、成功したんだから、お祝いだよね！,Anyway, that was a success, so congratulations!
明日、渋谷駅前に１２時。 遅刻厳禁だから！,Tomorrow at 12 in front of Shibuya station. Being late is strictly prohibited!
せっかくだ、飾ってみようせ！,Finally! Let's try to put it on the show!
さて、自室を飾り付けてみるか？,So, shall we try to decorate your room?
あ！　ここ時間制限あんじゃん！？,Ah! Don't we have a time limit !?
スイーツメニュー…食べ尽くすなきゃ…！,Sweets menu...I have to devote myself to eating it up..!
ああ、溶ける,Ah, it's melting.
鴨志田の事件のこと 話題になってるな。,So the incident with Kamoshida has become a hop topic for discussion...
そんなに視聴率よかったんですか？,The ratings were so good, weren't they?
相手はあほな大衆だからな。,Because the other side is stupid masses.
真面目に調べる案件じゃないだろ。 そもそもばかばかしい話だし。,They're seriously discussing that topic, aren't they? That was a ridiculous thing to talk about to begin with.
うちで扱うには 少し子供っぽすぎると思いますけど。,Judging from how they operate, they seem like a kids a bit too much...
どうよ、高級料理とご対面した感想は？,So, what're your impressions of high class food after seeing it in person?
てか、持ってきすぎだよ。 残したら行儀、悪いし。,Speaking of that, didn't you take too much? If something is left, it'll be considered bad manners.
やめろ…酸っぱい話とか…,"Stop that....talking about ""sour"" and stuff..."
わ、わがはいも… 頼む…そっと運んでくれ…,Me...me too... Please...Carry me gently...
「吐くまで食う」って豪語して ほんとに吐くとか…バカなのか？,"All that big talk about ""Eating until I vomit""... And you really vomited...Are you stupid or something?"
さっき、俺らも会ったんだ。 身勝手で、人のこと見下してるクソな大人…,We met someone like that before too. A self-centered, shitty adult who looks down on people...
困ってる人を見過ごしたら、 前の自分に戻っちゃう…！,If I overlook people in need, I'll go back to being my old self...!
想像もしたことがなかったが…,I couldn't even imagined that this would happen but...
たしかに、あの力があれば、 人助けくらいは出来るかもしれない…,Surely, if we have this power we probably should at least be able to save people...
異議なーし。 俺、そういう責任感いるの苦手。,No objections! Having sense of responsibility like that is not my strong point.
ルーキーの提案にしては上出来だな。,That's a great suggestion for a rookie
うむ、「全会一致で決めた大物」か。,Yeah, so it's going to be an influential person whom we choose unanimously.
怪盗団の結成だぜ！,The Phantom Thieves are formed!
美学を共有する仲間と出会い、 お前は現実に自分の居場所を見出した。,You encountered comrades with whom you share your aesthetics and found a place for yourself in the real world.
シャドウと戦い、経験を積むこともひとつ。,(In order)To fight shadows and also for accumulating experience.
お前が現実を過ごす合間に、 契約した者との関係を洗練させろ！,Refine your bonds(Make your bonds refined) with people you're in a contract with during your time of break in the real world
…刻限です。 束の間の休憩時間へと戻りなさい…,It's time. Return to your brief time of break
契約者を訪ねることを忘れるなよ、囚人！,Don't forget to pay a visit to your contractors, inmate!
鴨志田先生のことはまだ警察が調査中だし、 私の口からは何ともね…,The case regarding Kamoshida-sensei is still under police investigation. I wonder what will they ask from me...
弁解じゃないけど、同僚として見る限りじゃ、 鴨志田先生は、まあ普通の人だったから。,And that's not an excuse but when you looked at him only as a coworker, Kamoshida-sensei, well, he was a normal person...
人間って、心の中の無意識の部分に 幾つも「別の人格」を持ってるんだって。,"Inside a person's heart there's a part of unconsciousness. And it has multiple ""Other personalities"" inside"
鴨志田くんの有様は…君もみたね。,Kamoshida's condition...You saw it too, didn't you.
仰ってる意味が…,So what you mean is...(The meaning of what you're saying is...)
鴨志田先生が「変わった」のは事実だ。 原因が何なのか、正しく掴んでおきたい。,"Kamoshida-sensei was ""Changed"", that is the truth. Whatever the cause may be, I truly want to grasp it."
君は「何か」をした「誰か」を探るんだ。 でないと無責任な噂も収まらない。,You look for what happened and who did it. If you can't find it, these irresponsible rumors won't be sorted out
どこの大学にも推薦できるよ。 新島真くん。,I can recommend you to any university, Niijima Makoto-kun.
君に何か不本意があったら、 お姉さんは、あまり都合がよくないだろうね…,If you'll be reluctant to do something, your sister's circumstances won't be looking that good...
マジで警察来てるな… 玄関の所で見たぜ,Police came for real... I saw them by the entrance.
なに今の神回避！？,What was that godly evasion just now?
怪盗団の今後には、期待してる。 内心そう思ってるやつ、多分たくさんいる。,They have high expectations of what the Phantom Thieves are going to do next. There're probably a lot of people who think this way deep down.
世間の評判とは別のところで、 怪盗団を支持し続けた声があったらしいわね。,Distinct to the public popularity, there was another voice who has continued to support the Phantom Thieves.
…だから、「私もごめん」って、 お互い謝ったんだ,That's why I said sorry too and so both of us apologized
私ね…鴨志田から、脅されたでしょ？ 付き合わなければ、しほのレギュラーを外すって,Me too...I was threated by Kamoshida, right? If I didn't go out with him, Shiho would've been dropped off from being a regular.
強引だったから驚いたけど… 助けてくれたんだよね。,Despite the fact that it was pushy and I was surpised... You saved me.
いい感じの特訓、思いついたら連絡するから、 また付き合ってね！,When I think of a good special training I'll contact you, so let's go out again after, right!
今日からお前が戸締りしろ。 帰りをいちいち待ってられないからな。,From now on lock up by yourself. I can't go waiting around for you to come back every time.
せっかくだから ちょっと出掛けてみるか？,Finally! Should we try and leave?
真相は不明ではないですか！？,The real situation is unclear to us, isn't it !?
…君、熱心に聞いてくれているね。,You...You were listening keenly, weren't you?
政治に興味があるのかい？,Do you have interest in politics?
…うーん、確かに若い人手が欲しい所だが、 未経験者を雇うわけにいかないな。,....Even though it's true I require a help from a young person, but I won't employ such an inexperienced person.
申し訳ないね。 また演説を聞きに来てくれると嬉しいよ。,I'm really sorry. Come again to hear my speech, I'll be glad.
牛丼屋でバイトすれば、 ちょっとは器用さが磨けるんじゃないか？,If you work in this beef bowl place, you'll be able to polish your agility a bit, won't you?
いや、紹介等は結構だ。 早速、仕事に取り掛かってくれ。,No, enough introductions and all that. Please begin working quickly.
お客さんの注文を聞いて、作って、配膳して、 会計して、片付けて、後は店を掃除する。,You have to take customers orders, make them, deliver it to them, bring bills, tidying up and after that clean the place.
まあ、やるだけやってみようぜ。 わがはいも応援してやるよ。,Well, you should try to do it then. I'm gonna be helping too.
パレスを持ってそうな大物の依頼、 来そうな気配もねえし…,There're no requests for some big shots who probably have palaces. There's not even a sign that someone like that is coming...
自力で探すしかねえーか？,There's nothing to do but to search with our own efforts, right?
そうそう、ここね、 例の事故もあったし閉鎖することになってたの。,Yes, yes, this is it. After the aformentioned accident this place was closed for entrance.
掲示板見たよ！ ストーカーの成敗を見事！,I saw the notice board! Good job punishing this stalker!
っと、ごめんごめん。 最近、ちょっと寝不足なんだ。,Aaah, sorry, sorry. I'm lacking in sleep department lately.
怪チャンの管理しっぱなしで,Management of Phan-site is going without mistakes
ホラ、怪盗お願いチャンネル」、 略して怪チャン。,See? Phantom Thieves request channel. Phan-site after abbreviation.
まあね。でもそっちに比べれば、 俺はあくまで後方支援さ。,Well, yeah. But compared to you I'm just doing my best to support you from the back.
君たちが、実際どうやって 悪党を成敗してるのか知りたいけど…,I want to know how you guys actually punish villains, but...
怪盗団の人気をコントロール… いや、プロデュースするんだ。,I will control the popularity of the Phantom Thieves... No, I will produce it...
承知いたしました。 少々お待ちください！,I accepted it (acknowledged your order). Please wait for a bit!
見た目は美味しそうだけど… いや、美味しいんだろうけど…うむむ。,From appearance alone it looks tasty, but.... No, it's just is tasty, isn't it...yes,yes...
なんか学校の雰囲気 変わったよな？,Somehow the atmosphere in the school changed, didn't it?
だからって 同情なんかできない。,That's precisely why I can't sympathize with him.
「多くの大衆が抱く気持ち」ってのは、 メメントスにも影響するもんなんだ,If a lot of the masses embrace this feeling then it's gonna have an effect even in Mementos
…って事は、倒すのも無視するのも楽そうだな。 まっ、実際の具合は行って確かめようぜ。,So basically there's also a second option other than defeating, we can easily ignore them (enemies). Well, let's go and check how things really are (the real condition)
メメントスには1匹、格段にヤバイ奴がいてな… のんびりしてるとコイツが襲ってくるんだ。,In Mementos there's one far scarier guy than everybody else... If we take him leisurely, he will come and attack us.
ジョゼが 色欲の結晶を見ている…,Jose is looking at the crystal of the lust
けど、まだ力を出し切れていないみたい。,But it seems that the power is not extracted from it.
これでそのアクセサリーも、 真の力を発揮できるようになった。,And now this accessory has been made able to show it's true power.
色欲の指輪,Ring of lust
あっちの世界の地下鉄で見て、 ひらめいたんだ。,I looked at that world's subway and an idea came to my mind.
持ってたら交換して欲しいな。 いいもの拾っておいたよ。,If you have them(flowers) I want to exchange. I gathered some nice things in advance.
あれ、メメントスを出ると何故か消えちゃうんだ。 僕も理由は分からない…不思議だよね。,The thing is, when you leave Mementos all your flowers disappear. I don't understand the reason why...It's so strange, isn't it.
だから、忘れずに僕の所に交換しに来てね。,That's why come to my place for exchanging so you don't forget(to do it before leaving)
このエリアから ターゲットの気配を感じるぞ！,I sense the sign of a target from this area!
お疲れ、お兄さん。 探索は順調？,Good job, brother. Was your search well?
メメントスから現実世界へ帰還します。 お疲れ様でした。,You're returning home to the real world from Mementos. Thank you for your work.
エリア４待合室を発見した,Found an area 4 waiting room
キリがいいところまで来たな。 眼鏡の奧に知性の光…なんてな。,That's a good place to end it(studying session). I see the sparkle of intelligence from inside of your glasses...or something like that.
学校には真面目に通ってるのね。,When it comes to school, you're attending it quite seriously.
転校してきたばかりなのに… よっぽど気が合うのかしら？,Even though you have just changed schools, you're getting along with her very much, aren't you?
彼女、鴨志田先生の被害者だったみたいだけど 本当にそれだけかしら…,It seems that she was a victim of Kamoshida-sensei. Is that truly all there is to it...
皆さんお待ちかね 武士の時代の始まりです。,As you're probably expecting, we'll begin the samurai era.
料金は1回1回払うから、 めんどくせー契約とかもいらねーんだ。,Because they charge each time for each visit we don't have to sign any stupid contracts and stuff like that.
だから、むしろお前には感謝してるよ。,A that's why, if anything, I should be the one apologizing to you.
複雑そうだな,It seems that you have mixed feelings.
けどよ…気になんのは、新しい顧問の山内だ。 あいつは「ミニ鴨志田」だ。,But I now I got curious...That new consultant Yamanai...He's like a mini Kamoshida.
い、いや、　失敗失敗！ 最近、掲示板の書き込みがホント増えちゃって！,A, no, my mistake! It's just that the number of posts on the display board has increased!
次こそは失望させないよ。 俺、絶対、怪盗団の役に立ってみせるから！,Next time I won't disappoint you for sure. I'll definitely show that I can be useful to the Phantom Thieves!
入手経験値獲得量が上がる,Increases the amount of acquired experience points
やっぱネットって基本、匿名だからさ...,After all it should be obvious...Anonimity is the most basic thing when it comes to Internet...
貴重な情報が得られるチャンスだったんだけどな…,It was a chance...I could acquire a precious bit of information, but...
じゃ、そろそろ怪チャンの管理に戻るよ。 これからの展開、楽しみにしてて！,Well, I better go back to managing Phan-site. Look forward to our expansion from now on!
声、渋い…！,His voice is so elegant!
た、担当はカウンセリングです…,I will be responsible for counselling
ニュースにもなってるし、 放置はまずいって思ったんじゃない？,It's everywhere on the news, they just thought that leaving the situation as is was bad, didn't they?
いきなり見ず知らずの僕と話せって言われても、 困るのは分かるよ。,All of the sudden I ask to talk to me(therapy), the person you don't know and see for the first time. I understand that it's difficult for you.
僕は保健室にいるから、 都合のいいときにでも来てよ。,I'm gonna be in the school infirmary so come when it's convenient to you.
なるほど…うん、ありがとう。 あきら君の状況は、だいたい把握できたよ。,I see. Yes, thank you. I think I was able to understand our situation more or less, Akira-kun.
いや、テストは潔く諦めた。 ゲームしたら、朝になってたわ。,No, I bravely stopped doing tests. I played a game and then the morning came.
さすがはアン殿。 どっかのバカ猿とは大違いだな。,Well done, An-dono. You're completely different to that moron monkey.
あ？　テメエの方が脳みそ小っせえくせに、 偉そうに言うなよ。,Huh? Despite your brain tissue being so small, you tell that so pompously.
あーもう、朝からうるさい！ 覚えた年号、忘れちゃ…,Ah. stop it. So noisy right from the morning. I will forget all the Japanese era's names that I memor...
君こそ、ずっと探してた女性だ！ ぜひ、俺の,You're the one, the woman I was searching for! Certainly, you'll be my...
俺は班目先生の門下生で、 住み込みさせてもらってるんだ。,I'm a disciple of Madarame-sensei, he has let me to live and work at his place.
画家を目指してる。,I'm striving to be an artist.
えっ！？班目って…あの？ こないだ「情熱帝国」に出てた？,"Huh? Madarame? The one released ""Passion empire"" just the other day?"
超有名な日本画家。 「世界で評価される日本画家」なんだって。,He's an extremely renowned Japanese artist that is praised around the world.
じゃあ明日、ぜひ会場で！,Tomorrow at the meeting place! Definitely come!
班目の弟子と偶然知り合った？,You got acquainted with Madarame's pupil by accident?
確かに班目は、許されざる罪人だった。,It's true that Madarame was an unforgivable criminal.
けど、長年隠し通してきた秘密の悪事を 短期間で、どうやって突き止めたの？,But he kept his wrongdoings hidden for many years. How were you able to identify them in such a short time?
いいわ、班目の件の続きを話して。 事実だけを、簡潔によ。,Fine then. Continue the story about Madarame. Only the truth...And keep it brief.
これ何の行列か？,What's that line for?
この人の展覧会 今日からだったんだ…,It's an exhibition of that person. It starts from today...
私のアトリエは質素なあばら家ですが、 美の探求には充分なのです。,My atelier is but a modest shack. That's quite enough for pursuit of beauty.
それにしても、巨匠班目先生から、 「あばら家」なんて言葉が出るなんて。,"By the way, that was some word coming from maestro Madarame himself. ""Shack"", wasn't it?"
日本画って、こんな色々種類があるのね。,There's so much variety when it comes to Japanese paintings, isn't there?
「日本画の大家が弟子の作品を盗作している。 テレビは表の顔しか報じていない」…だとよ。,"It goes like this ""A master of Japanese paintings who steals works from his disciples. On the TV they don't report about anything but his public self"""
盗作に加えて、虐待ってことか。,In addition to the plagitarism there's also abuse.
だって、まさに弟子でしょ？,Because he's a disciple without a doubt?
あと班目先生のアトリエの住所も。,It's after, at Madarame-sensei's atelier (address)
ちょ、会話に入って来んな。 ペット運賃、払ってねえんだよ。,Shh, don't you start talking now. We didn't pay a fare for pets.
連打だ,Strike him(Morgana) repeatedly.
間もなく～渋谷～渋谷～。 お出口は左側に変わります。,Arriving at...Shibuya..Shibuya. The exit is changing to the left side.
あばら家って言っても、こんな都心に住むなんて… さすが有名芸術家だよね。,The house he talked about...So he's living in the city center... That's famous artist for you, huh.
自首の動機は…,Motive for turning ourself in is...
それに今は、住み込みの門下は俺ひとり。 俺が無いと言うんだから、疑う余地はない。,And now I'm the only pupil who resides here, me alone. And when I tell you that it's not true, there's nothing left to suspect.
俺が画家を志す、 きっかけをくれた絵なんだ,The aspiration to be a painter that I have. It's the painting that started it all.
俺は、こんな「美」を追求したい。,"I want to pursue that kind of ""Beauty""."
この表示…班目先生にも パレスが…ってことだよね！？,That display...Madarame-sensei...has a palace as well...
入るには、最低限「本人の名前」と、 「場所」が分かればいいんだったな？,To enter we need a person's name and a place at the very least. If we know that, it'll be fine, right?
まさか…あの行列に並ぶのか？,Don't tell me we are going to stand in that line?
…チャンスだ 警備が正面に集中するらしい。,It's our chance. Defence seems to be concentrated in the front gates.
歪んだ絵画,Distorted painting
マジか、この人数ぜんぶか？ 前に屋敷に行った時は…,Really, this number of people, all of them? That time when we were at his residence before...
何かの冊子が置かれている…,Some sort of booklet is put there...
パレスのくせに芸が細けえよな… こんなもん、無視でいいだろ？,Despite it being in the palace the technique is careful(detailed)... Do you really want to ignore that thing?
近接武器で攻撃,Attack with the close ranged weapon
まだ来る！？注意しろ！,They are still coming!? Be careful!
「無限の泉」…?,Spring of eternity..?
みんなの意見は？,What's your opinion, everyone?
モデルの話受ければ、 真相、聞けるかもしれないし。,If I accept his modeling offer, I might be able to hear the truth from him.
「怪盗団」としての初陣だ。 ゼッテー成功させんぞ！,It's our first campaign as Phantom Thieves. We'll definitely make it a successful!
ユースケが真実を語らない理由か…,The real reason Yusuke doesn't tell us the truth is...
俺らがやろうとしてることって、 喜多川にとって、お節介なのかな...?,If we were to do it, then wouldn't it be meddling? For Kitagawa?
パレスで見たこと、 ホントかどうか喜多川くんに確認しないと,Things we saw in the palace. I have to confirm from Kitagawa-kun whether they are true or not.
班目の尻尾、掴んでやろうぜ。,Let's catch Madarame by his tail!
モデル引き受けたら、 喜多川くん、かなり喜んでくれてた。,Once I accepted his modeling proposal, Kitagawa-kun became quite delighted
監視だよ。 お前が変態なことしねえように。,We're monitoring. Cause you still might be a pervert.
妙な勘繰りはやめてくれ。 彼女に異性としての興味は一切ない。,Please stop with your weird suspicions. As a member of opposite sex I don't any interest to her whatsoever.
勘違いしないでくれよ？,But don't go taking wrong ideas, won't you?
被害者など、どこにもいない！ 身勝手な正義を押し付けるな！,There's no victim here or something like that anywhere! Don't impose your egoistical justice onto others!
二度と来るな… 次は迷惑行為で訴えてやる。,Don't come here ever again... Next time that (harassment/disruptive behaviour) happens - I'll sue you!
理想のモデルで裸婦画を描けるなんて...!,To be able to paint something like nude painting of such a ideal model...!
なんか、優しそうな感じだね。 ストーカーしてた印象ないよ。,Somehow I have kind of tender feeling. He doesn't give off the impression of a stalker.
逃げ出した私が言うのもなんだが、 自殺した兄弟子の悲劇は繰り返したくない...!,As if I'm to talk, the person who ran away, however I do not wish for this tragedy, when my brother disciple commited suicide...!
それに喜多川くんの本音も聞けたしね！,More than that we were able to hear what Kitagawa-kun really thinks!
それに…アン殿の貞操がかかってる！！,More than that...An-dono's virtue depends on it(success of the plan)!!
その上で「心を頂く」予告。 お宝を「実体化」させて、いただく。,On top of that we send a previous note where it says that we take the heart. And then we make the treasure materialize and take it!
だいぶ学習してるな、いいぞリュージ。,You have learned a lot! Nicely done, Ryuji!
けどモノを見れば、わがはいの直感で確実に分かる。,But then we see it, I'll surely understand what it is with my instincts.
今回の期限って、 個展が終わるまでなんだよね？,The deadline this time, it's until the end of his exhibition, right?
しまった、防犯装置だ！,Damn it, it's security equipment!
これ…例の赤外線だよね？ こんなの超えらんないじゃん…,This is...that infrared rays from before, aren't they? We won't be able to pass through that...
だが、これだけ厳重ってことは、 守りたいモノがこの先にあるって証拠だ。,But such a secure (defense) can only be a proof that there's something ahead that you want to protect
待て…あの奧の扉… あの柄…どっかで見たような…,Wait...That door in the center... It's like I've seen that design somewhere...
…そうか！　あそこだ！ あそこのフスマと同じだ、間違いない！,That's it! From there! It's the same as sliding door from that time, there's no mistaking it!
あれが現実の何処の扉の認知か、見当がついた。,I have a guess that this is a cognitive version of that door from somewhere in the real world.
指定したペルソナを持ってきたようですね。,You brought the assigned persona to us, huh?
それを面白がるとは、実は心外です。,To tell you the truth this interest that we feel is wholly unexpected.
まあ、断るの権利はない。,Well, you have no right to refuse(our offer).
実は、前に来たときに偵察してある。,To tell you the truth when we came here earlier I did some scouting.
つーか、屋敷に入んのも、どうやるかなー。 無理に入ったら今度は通報だし…,But I wonder how we can get in to the mansion this time... Because if we enter this time, we'll get reported to the police...
大丈夫、わがはいも同行する。,It's ok. I'll go with you.
あ、先生がここに睨んでるよ！,Ah, teacher is glaring at us!
パレスの中で待機して 扉が開いたら制御室みたいなのを探してくれ。,Stand in the palace and wait. If a door opens - look for something resembling a control room.
そお？　体重　変わってないんだけど。 むくんでんのかな？,You think so? But my weight hasn't changed...Maybe it's the swelling?
じゃあ、とりあえず… ここで…用意、いいか？,Now then, first of all....Are you ready for it?
開く気配、全然ねーぞ… もうすぐ班目が帰ってくんだよな？,There're no signs of it opening. Madarame is going to return any minute now, isn't he?
ぶっちゃけこの作戦、 うまくいったら奇跡じゃね？,To put it bluntly, if this operation goes well, it'll be a miracle, right?
お願い…二人っきりになりたいの。,Please...I want it to be just the two of us.
実は、借金を抱えている。,The thing is, I have debts.
でたらめを言うな！,Don't talk nonsense!
腐った悪党を改心させる集団…てことか。,We're the group who makes rotten villains have a change of heart...or something like that
事実は小説より奇なり…か。,The truth is stranger than a novel in it's own way...huh.
「心を盗む怪盗」…実在したとはな。,Phantom thieves stealing hearts...So they really do exist.
あ、成績もう出てんじゃん。,Ah, they posted results(of an exam) already.
良かったー！ 平均、超えてる！,That's a relief! It's above average(result)
強い欲望…「歪んだ主観」の持ち主が持ってる,(He must have) Strong desire...That is the distorted ego the owner must possess.
そーなんだよ、そこ若干クイズでよ。 今後チョイ厄介かも,Yeah, that...is somewhat a quiz. We had a lot of trouble with that this time
だが、ルート確保する為には、 セキュリティの解除は必要なステップだ。,However, in to secure a route terminating security is a necessary step.
パスワード承認… …セキュリティシステム…停止…,Password approved...Security systems have been stopped
確かに妙だが…行くしかない。 慎重にな、ジョーカー。,That's true it's strange but we have no choice but to go. Be careful, Joker.
おおー！ スカルお手柄だ。やるじゃねえか！,Oh! What a feat, Skull. Nicely done!
見た目通り、繋がりもが歪んでいるわけだな…,It is as it seems. The connection is distorted too huh...
思えば、贋作だらけこの黄金の空間は、 班目の頭にある錬金術そのものの具現化…,If you think about it, they're all but fakes, everything in this place. They're a materialization made possible by virtue of alchemy in Madarame's head.
所詮は幻だろうが、絵としては間違い。 さすがだな。,In the end it is a mere illusion, however as a painting it cannot be mistaken. Well done.
気を付けろよ？ 歪みがますます強くなってきてる…,Be careful, right? The distortion is beginning to get increasingly stronger
予告を出して、班目に「奪われる」と認識させりゃ おたからが実体化して、ヤッホーこんにちはよ。,"We'll send a calling card and Madarame's cognition will be made to realize the treasure can be stolen. It will materialize and will say ""Well, hello there!"""
ぬー？ 電源を触ったのは貴様たちか！,So it was you bastards who messed with electricity!
バトンタッチを受けた時の行動で 状態異常付着率が増加する,When you accept baton pass the next action will have increased rate for status effects to stick
アイツ、見るからに強敵だぞ。 準備はいいか？,From the looks of it, it's a strong enemy. Are you prepared?
いや、恐らく展示ホールの 仕掛けを操作する部屋だろう。,No, it's probably a room that controls all the mechanisms in the exhibition hall
これはフォックスの推理、当たりっぽいね！,So Fox's deduction now looks to be spot on!
警備の隙間…という事か。 しかしどうする？　飛び降りるか？,Crack in the defense as it seems. But what shall we do? Are we jumping down?
手分けするんだよ。制御室で電気を消す係と、 クレーンを操作する係と、降りるわがはい。,We'll split into groups. One will be in charge of turning off the electricity with the control room, the other will handle the crane. And I'll come down (on it).
励むがいい、囚人！,You better work hard, inmate!
全ては貴方のため。 態度を改めるべきです。,Everything is for your sake. You must change your attitude.
それでは、次の課題を言い渡します…,Well then, I'll announce the next assignment...
無礼な男ですね…,What an impolite man...
うし、多少不安はあるが…やるしかねえ。,Ok. I'm worrying a little but it cannot be helped.
ご返却ですね？,Do you want to return it(DVD)?
で、他に容疑は？ こっちも忙しいんだけど。,Well, any other suspicions? Because I'm a busy person too.
こりゃ、一気に注文が来るぞ。 忘れないように、しっかり記憶しろよ？,Well well, the orders come without stopping. Memorize them well so that you don't forget, ok?
私はこの国の現状を変えたい… それには君みたいな若者の力が必要なんだ。,I want to change status quo in this country. And in order to do that young people like you are necessary.
ああ、共感してもらえたかな？,Ah! You sympathized with that idea, didn't you?
これでも演説には、 多少、心得があるつもりだ。,Then you got some knowledge out of my speech and that's the intention.
僕が今、考えているのは、 精神…心が感じる「痛み」について。,Right now I'm thinking like talking about spirit...the pain that the heart feels.
具体的に言うと、ひどい言葉を投げられたり 大切な存在との別れだったりで感じる苦しさ…,If we are talking about concrete things. It's like if someone throwed harsh words in your face or if you were to part with your precious existence, the feeling that you would feel would be anguish.
身体の痛みであれば、怪我や病気の症状として 必要なものだと考える事はできる。,If you were to have symptoms of a physical pain, be it an injury or illness, we would be able to think of the necessary things (to cure it).
けどさ…例えば 失恋の痛みなんてどうかな。,Well, let's say how would it be if it's something like a broken heart.
心の傷は実際には目に見えなくて、 ある意味では身体の傷よりも複雑だ。,The thing with heart wounds is that they're unseen to the eye. In a sense these are more complicated than body wounds.
そんな、心が負ってしまう「痛み」に 苦しんでいる人を助ける為に僕の研究がある…,And my research exists in order to save the people who are suffering from the pain in the wounded heart
最大SPが５上がった。,Maximum SP increased by 5 points
戦闘開始時に、主人公にチャージ＆ コンセントレイトの効果を得ることがある,"At the start of the battle protagonist has a chance to get ""charge"" and ""concentrate"" effect"
仕事と研究の両立って結構ハードなんだよね。,It's rather hard for job and research to coexist, huh?
誰がお前なんかを当選させるか！,Who the hell will let someone like you get elected!
その未熟さから… 派手な連続スキャンダルを起こしてしまった。,Because of that inexperience I'd got myself in an flashy long lasting scandal...
...技術に興味がある,...I have an interest in that skill(public speech)
あ、じゃあさ、坂本君は普段何してるの？ 放課後とか、休日とか,Well, let's say...What are you usually do? After school and on holidays etc?
フォックスの合図…！ 準備OKって事ね…,Signal from Fox. So the preparations are OK...
